Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164085245180266&slink=7lxxkl&f1=1,35,0,3,5,"град София, Яворов",1970,1-СТАЕН,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b156993405862842&slink=7lxxkl&f1=1,35,0,1,8,"град София, Люлин 6",1980,2-СТАЕН,Панел,35999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163171273185762&slink=7lxxkl&f1=1,35,0,1,8,"град София, Люлин 6",1985,2-СТАЕН,Панел,36000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163938436579925&slink=7lxxkl&f1=1,35,0,1,8,"град София, Люлин 6",1986,2-СТАЕН,Панел,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157216729013694&slink=7lxxkl&f1=1,35,0,1,8,"град София, Люлин 6",1985,2-СТАЕН,Панел,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161156292177977&slink=7lxxkl&f1=1,35,0,1,4,"град София, Център",1951,2-СТАЕН,Тухла,81000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h164258340151992&slink=7lxxkl&f1=1,35,0,9,9,"град София, Хаджи Димитър",2010,"АТЕЛИЕ, ТАВАН",Тухла,64000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164146336246744&slink=7lxxm6&f1=1,36,0,2,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,39990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164207233178551&slink=7lxxm6&f1=1,36,0,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,43284
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163839257429921&slink=7lxxm6&f1=1,36,0,3,5,"град София, Малинова долина",0,1-СТАЕН,Тухла,47400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163956443130169&slink=7lxxm6&f1=1,36,0,2,2,"град София, Младост 1",2005,1-СТАЕН,Тухла,57000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164180608735208&slink=7lxxm6&f1=1,36,0,1,5,"град София, Модерно предградие",0,1-СТАЕН,Тухла,43000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163655552756425&slink=7lxxm6&f1=1,36,0,6,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,58905
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162403548497920&slink=7lxxm6&f1=1,36,0,2,14,"град София, Люлин 5",1985,1-СТАЕН,ЕПК,44900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163221840515447&slink=7lxxm6&f1=1,36,0,2,14,"град София, Люлин 5",0,1-СТАЕН,ЕПК,46000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164147393417031&slink=7lxxm6&f1=1,36,0,8,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162692851343667&slink=7lxxm6&f1=1,36,0,8,8,"град София, Люлин 5",0,1-СТАЕН,Панел,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162704804793701&slink=7lxxm6&f1=1,36,0,8,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163489192279746&slink=7lxxm6&f1=1,36,0,8,8,"град София, Люлин 5",1974,1-СТАЕН,Панел,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163596610965054&slink=7lxxm6&f1=1,36,0,8,8,"град София, Люлин 5",1980,1-СТАЕН,Панел,49000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164216146436450&slink=7lxxm6&f1=1,36,0,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,43200
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163454497079891&slink=7lxxm6&f1=1,36,0,1,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,43284
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163248539081189&slink=7lxxm6&f1=1,36,0,2,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,43299
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163784168502942&slink=7lxxm6&f1=1,36,0,4,4,"град София, Малинова долина",2024,1-СТАЕН,Тухла,46332
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162436390301743&slink=7lxxm6&f1=1,36,0,3,6,"град София, Малинова долина",2022,1-СТАЕН,Тухла,46800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163255754734118&slink=7lxxm6&f1=1,36,0,3,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163534044401035&slink=7lxxm6&f1=1,36,0,1,5,"град София, Малинова долина",0,1-СТАЕН,Тухла,46800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163654573145335&slink=7lxxm6&f1=1,36,0,2,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46890
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163465631329124&slink=7lxxm6&f1=1,36,0,2,6,"град София, Малинова долина",0,1-СТАЕН,Тухла,46890
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164268458868967&slink=7lxxm6&f1=1,36,0,2,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164268420974839&slink=7lxxm6&f1=1,36,0,3,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163966769215218&slink=7lxxm6&f1=1,36,0,1,5,"град София, Малинова долина",2021,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163698313170512&slink=7lxxm6&f1=1,36,0,1,5,"град София, Малинова долина",0,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164206790052536&slink=7lxxm6&f1=1,36,0,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163551624414690&slink=7lxxm6&f1=1,36,0,2,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46891
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164129576806156&slink=7lxxm6&f1=1,36,0,3,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163411510674298&slink=7lxxm6&f1=1,36,0,3,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,46900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163518884391814&slink=7lxxm6&f1=1,36,0,4,7,"град София, Малинова долина",0,1-СТАЕН,Тухла,52400
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164267703772200&slink=7lxxm6&f1=1,36,0,2,14,"град София, Младост 3",1985,1-СТАЕН,ЕПК,68000
